subject	session	acquisition	scan	run	tr_ms	water_fat_shift_px	epi_factor	scan_resolution	fov_ap_fh_rl_mm	n_dynamics	n_slices	technique	scan_mode	slice_thickness_mm	slice_gap_mm	te_ms	flip_angle_deg	turbo_factor
01	1	2	T1w		8.28	2.27	1	256  256	256.00  256.00  170.00	1	170	T1TFE	3D	1.000	0.000	3.88	8.000	256
01	1	3	bold	1.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	4	bold	1.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	5	bold	1.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	6	bold	1.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	7	bold	2.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	8	bold	3.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	9	bold	4.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	10	T1w		8.28	2.27	1	256  256	256.00  256.00  170.00	1	170	T1TFE	3D	1.000	0.000	3.88	8.000	256
01	1	11	bold	5.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	12	bold	6.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	13	bold	7.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	1	14	bold	8.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	2	2	T1w		8.28	2.27	1	256  256	256.00  256.00  170.00	1	170	T1TFE	3D	1.000	0.000	3.88	8.000	256
01	2	3	bold	1.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	2	4	bold	2.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	2	5	bold	3.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	2	6	bold	4.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	2	7	T1w		8.28	2.27	1	256  256	256.00  256.00  170.00	1	170	T1TFE	3D	1.000	0.000	3.88	8.000	256
01	2	8	bold	5.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
01	2	9	bold	6.0	2297.90	13.92	47	96   94	240.00  116.50  180.00	137	39	FEEPI	MS	2.500	0.500	30.00	90.000	47
